"filename", "language", "XML", "Kotlin", "Kotlinscript", "JSON", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\build.gradle.kts", "Kotlinscript", 0, 0, 92, 0, 0, 9, 101
"c:\Users\Hi\Coder\MovieApp\app\google-services.json", "JSON", 0, 0, 0, 47, 0, 0, 47
"c:\Users\Hi\Coder\MovieApp\app\src\androidTest\java\com\example\movieapp\ExampleInstrumentedTest.kt", "Kotlin", 0, 14, 0, 0, 6, 4, 24
"c:\Users\Hi\Coder\MovieApp\app\src\main\AndroidManifest.xml", "XML", 42, 0, 0, 0, 0, 4, 46
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\IntroActivity.kt", "Kotlin", 0, 34, 0, 0, 3, 9, 46
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\LoginActivity.kt", "Kotlin", 0, 119, 0, 0, 5, 18, 142
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MainActivity.kt", "Kotlin", 0, 23, 0, 0, 2, 6, 31
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\OTPActivity.kt", "Kotlin", 0, 43, 0, 0, 1, 8, 52
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\PhoneNumberActivity.kt", "Kotlin", 0, 57, 0, 0, 5, 11, 73
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SignupActivity.kt", "Kotlin", 0, 57, 0, 0, 0, 10, 67
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SplashActivity.kt", "Kotlin", 0, 33, 0, 0, 9, 8, 50
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\SliderAdapters.kt", "Kotlin", 0, 25, 0, 0, 0, 8, 33
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\DataModel.kt", "Kotlin", 0, 11, 0, 0, 0, 3, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Domain\SliderItems.kt", "Kotlin", 0, 8, 0, 0, 0, 3, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\SessionManager.kt", "Kotlin", 0, 39, 0, 0, 6, 9, 54
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Color.kt", "Kotlin", 0, 8, 0, 0, 0, 3, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Theme.kt", "Kotlin", 0, 41, 0, 0, 10, 7, 58
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Type.kt", "Kotlin", 0, 15, 0, 0, 17, 2, 34
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\anim\slide_in_right.xml", "XML", 5, 0, 0, 0, 0, 1, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\anim\slide_out_left.xml", "XML", 5, 0, 0, 0, 0, 1, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\baseline_arrow_back_24.xml", "XML", 10, 0, 0, 0, 0, 4, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\edittext_background.xml", "XML", 9, 0, 0, 0, 0, 0, 9
