"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\AndroidManifest.xml", "XML", 3, 0, 0, 0, 3
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MovieDetailActivity.kt", "Kotlin", 0, 9, -7, 0, 2
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SearchActivity.kt", "Kotlin", 0, 90, 12, 14, 116
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieAdapter.kt", "Kotlin", 0, 32, 0, 5, 37
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieSearchAdapter.kt", "Kotlin", 0, 32, 0, 6, 38
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\PersonAdapter.kt", "Kotlin", 0, 25, 0, 6, 31
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\ItemMovie.kt", "Kotlin", 0, 9, 0, 2, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Movie.kt", "Kotlin", 0, 2, 0, 0, 2
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\HomeFragment.kt", "Kotlin", 0, 82, 26, 20, 128
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\tab_selector.xml", "XML", -13, 0, 0, 0, -13
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_movie_detail.xml", "XML", 4, 0, 0, 1, 5
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_search.xml", "XML", 45, 0, 2, 7, 54
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_home.xml", "XML", -62, 0, 5, -6, -63
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie.xml", "XML", 51, 0, 7, 8, 66
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie_search.xml", "XML", 76, 0, 0, 11, 87
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_person.xml", "XML", 31, 0, 0, 4, 35
"Total", "-", 135, 281, 45, 78, 539
