"filename", "language", "Properties", "Markdown", "Kotlinscript", "XML", "JSON", "Batch", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\.idea\appInsightsSettings.xml", "XML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"c:\Users\Hi\Coder\MovieApp\.idea\compiler.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Hi\Coder\MovieApp\.idea\deploymentTargetSelector.xml", "XML", 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\Hi\Coder\MovieApp\.idea\gradle.xml", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"c:\Users\Hi\Coder\MovieApp\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 53, 0, 0, 0, 0, 0, 53
"c:\Users\Hi\Coder\MovieApp\.idea\kotlinc.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Hi\Coder\MovieApp\.idea\material_theme_project_new.xml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\Hi\Coder\MovieApp\.idea\migrations.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\Hi\Coder\MovieApp\.idea\misc.xml", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 17
"c:\Users\Hi\Coder\MovieApp\.idea\studiobot.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Hi\Coder\MovieApp\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Hi\Coder\MovieApp\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Hi\Coder\MovieApp\app\build.gradle.kts", "Kotlinscript", 0, 0, 119, 0, 0, 0, 0, 1, 18, 138
"c:\Users\Hi\Coder\MovieApp\app\google-services.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 0, 47
"c:\Users\Hi\Coder\MovieApp\app\src\androidTest\java\com\example\movieapp\ExampleInstrumentedTest.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 14, 6, 4, 24
"c:\Users\Hi\Coder\MovieApp\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 48, 0, 0, 0, 0, 3, 51
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\IntroActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 34, 3, 9, 46
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\LoginActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 119, 5, 18, 142
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 35, 4, 9, 48
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MovieDetailActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 171, 1, 25, 197
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\OTPActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 43, 1, 8, 52
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\PhoneNumberActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 57, 5, 11, 73
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SearchActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 90, 12, 14, 116
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SignupActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 57, 0, 10, 67
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SplashActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 33, 9, 8, 50
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\BannerAdapter.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 25, 1, 7, 33
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieAdapter.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 32, 0, 5, 37
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieSearchAdapter.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 32, 0, 6, 38
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\PersonAdapter.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 28, 0, 7, 35
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Actor.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Director.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\ItemMovie.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Movie.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 18, 0, 2, 20
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\ItemPerson.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\CategoryFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\DowloadFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\HomeFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 189, 40, 38, 267
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\ProfileFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\SessionManager.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 39, 6, 9, 54
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Color.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Theme.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 41, 10, 7, 58
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Type.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 15, 17, 2, 34
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\anim\slide_in_right.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\anim\slide_out_left.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\color\selector_bottom_nav.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\ant_design_star_filled.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\baseline_arrow_back_24.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
