"filename", "language", "Kotlinscript", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\.idea\kotlinc.xml", "XML", 0, -6, 0, 0, 0, -6
"c:\Users\Hi\Coder\MovieApp\app\build.gradle.kts", "Kotlinscript", 24, 0, 0, 0, -1, 23
"c:\Users\Hi\Coder\MovieApp\app\src\main\AndroidManifest.xml", "XML", 0, 9, 0, 0, 3, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MovieDetailActivity.kt", "Kotlin", 0, 0, 1, 0, -1, 0
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SavedMovieListActivity.kt", "Kotlin", 0, 0, 134, 1, 13, 148
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SearchActivity.kt", "Kotlin", 0, 0, 0, 0, 1, 1
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\WatchMovieActivity.kt", "Kotlin", 0, 0, 371, 62, 59, 492
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\WatchMovieDowloadActivity.kt", "Kotlin", 0, 0, 3, 0, 1, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\DownloadedVideoAdapter.kt", "Kotlin", 0, 0, 17, 0, 6, 23
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\EpisodeAdapter.kt", "Kotlin", 0, 0, 20, 0, 5, 25
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\AppDatabase.kt", "Kotlin", 0, 0, 22, 0, 5, 27
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\AppViewModel.kt", "Kotlin", 0, 0, 45, 12, 10, 67
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Actor.kt", "Kotlin", 0, 0, 3, 0, 1, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Director.kt", "Kotlin", 0, 0, 3, 0, 1, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\DownloadedVideo.kt", "Kotlin", 0, 0, 12, 0, 4, 16
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Episode.kt", "Kotlin", 0, 0, 5, 0, 2, 7
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Movie.kt", "Kotlin", 0, 0, 2, 0, 0, 2
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\WatchLaterMovie.kt", "Kotlin", 0, 0, 6, 0, 2, 8
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\DownloadViewModel.kt", "Kotlin", 0, 0, 13, 0, 5, 18
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\DownloadedVideoDao.kt", "Kotlin", 0, 0, 12, 0, 5, 17
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\DowloadFragment.kt", "Kotlin", 0, 0, 34, 5, 3, 42
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\HomeFragment.kt", "Kotlin", 0, 0, -1, 1, 0, 0
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\ProfileFragment.kt", "Kotlin", 0, 0, 31, 0, 8, 39
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\add.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\bookmark.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\bookmark_border.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\circle_background.xml", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\download.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\download_done.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\downloading.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\favorite.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\forward_10second.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\full_screen.xml", "XML", 0, 22, 0, 0, 1, 23
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\logout.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\pause.xml", "XML", 0, 12, 0, 0, 1, 13
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\play_circle.xml", "XML", 0, 13, 0, 0, 1, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\replay_10second.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\second.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\settings.xml", "XML", 0, 14, 0, 0, 1, 15
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\small_screen.xml", "XML", 0, 22, 0, 0, 1, 23
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\subtitle_square.xml", "XML", 0, 18, 0, 0, 1, 19
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_saved_movie_list.xml", "XML", 0, 39, 0, 2, 6, 47
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_watch_movie.xml", "XML", 0, 218, 0, 0, 31, 249
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\custom_exo_player_controls.xml", "XML", 0, 106, 0, 0, 13, 119
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_dowload.xml", "XML", 0, 10, 0, 0, 0, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_profile.xml", "XML", 0, 65, 0, 2, 13, 80
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_downloaded_video.xml", "XML", 0, 13, 0, 0, 1, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_episode.xml", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\Hi\Coder\MovieApp\build.gradle.kts", "Kotlinscript", 0, 0, 0, 0, 1, 1
"Total", "-", 24, 670, 733, 85, 216, 1728
