"filename", "language", "Kotlinscript", "Markdown", "Properties", "Batch", "JSON", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\.idea\appInsightsSettings.xml", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 27
"c:\Users\Hi\Coder\MovieApp\.idea\compiler.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Hi\Coder\MovieApp\.idea\deploymentTargetSelector.xml", "XML", 0, 0, 0, 0, 0, 21, 0, 0, 0, 21
"c:\Users\Hi\Coder\MovieApp\.idea\gradle.xml", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 19
"c:\Users\Hi\Coder\MovieApp\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 53, 0, 0, 0, 53
"c:\Users\Hi\Coder\MovieApp\.idea\material_theme_project_new.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Hi\Coder\MovieApp\.idea\migrations.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\Hi\Coder\MovieApp\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\Users\Hi\Coder\MovieApp\.idea\studiobot.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Hi\Coder\MovieApp\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Hi\Coder\MovieApp\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Hi\Coder\MovieApp\app\build.gradle.kts", "Kotlinscript", 147, 0, 0, 0, 0, 0, 0, 1, 20, 168
"c:\Users\Hi\Coder\MovieApp\app\google-services.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 0, 47
"c:\Users\Hi\Coder\MovieApp\app\src\androidTest\java\com\example\movieapp\ExampleInstrumentedTest.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 14, 6, 4, 24
"c:\Users\Hi\Coder\MovieApp\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 70, 0, 0, 7, 77
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\IntroActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 34, 3, 9, 46
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\LoginActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 119, 5, 18, 142
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 35, 4, 9, 48
"c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MovieDetailActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 222, 3, 29, 254
